MPWR,SWKS,ADBE,ADSK
NCLH,ALGN,URI,WBD
OXY,LKQ,TFC,IQV
UHS,EXPE,NWSA,SLB
MHK,MSI,RL,BSX
SO,SPG,D,WEC
TPR,C,NVR,CCL
RMD,FMC,DLR,GEN
INTC,NVDA,AMAT,SWKS
DLR,ADBE,TSLA,NKE
DFS,COF,CPAY,WYNN
OKE,DFS,TDG,FCX
TPR,ENPH,TDG,AMD
HAL,NCLH,AAL,TRGP
TRMB,MHK,FE,TRGP
EQR,AVB,DVN,ACGL
TPR,MGM,SWK,EQT
MRO,SPG,WAB,PSX
AAL,CAH,EQT,EW
TRGP,CTRA,MSI,EOG
O,TRGP,WMB,APTV
TRGP,ALGN,NCLH,AAL
TSN,UHS,WYNN,NVR
TRGP,ALGN,NCLH,SWK
HES,NVDA,GILD,INTC
CNP,EXPE,VRSK,AMAT
AVGO,CNP,APA,SYY
MGM,FCX,ALGN,APTV
WMB,SPG,TYL,TRMB
NCLH,BLDR,OXY,EQT
META,BX,NVDA,CTRA
PSX,CCL,BA,NCLH
LKQ,RL,SWK,PHM
FMC,ALB,EQT,EXPE
RL,EQR,ESS,DLR
NTAP,CVX,LRCX,QCOM
KMX,NCLH,RL,WMB
DFS,BWA,SPG,PARA
MHK,C,TRGP,HBAN
AMZN,AAL,ALLE,EXPE
WY,TRGP,SPG,LYB
CVX,PSX,FMC,RL
TRGP,CCL,RCL,NCLH
LRCX,APTV,WELL,ADI
CPAY,VRTX,PAYX,IVZ
DAL,VRTX,TYL,VLO
OMC,EOG,HAL,WYNN
FMC,PSX,DOC,CCL
MSI,PAYX,TPR,CRL
SYK,PARA,SCHW,USB
TRGP,URI,CMI,REG
BBY,LDOS,COF,ESS
OXY,DXCM,EMN,EOG
WYNN,EXPE,F,KEY
RCL,CCL,NCLH,UAL
APA,OKE,TRGP,UHS
AAL,APA,EMN,SPG
INCY,CBRE,FMC,SMCI
BIIB,FITB,NXPI,EQT
BX,GNRC,HPQ,PHM
ETR,SO,ULTA,AEP
HAL,COP,UAL,DRI
CVX,SWKS,MPWR,INTC
BX,MHK,WBA,SYK
UAL,RL,HII,TYL
RCL,AAL,BX,CCL
AAL,APA,BKR,DXCM
NCLH,TRGP,COF,KEY
OMC,AXON,MRO,TRMB
SWK,TPR,CVX,MHK
CCL,USB,MHK,TPR
INTC,ELV,AVGO,HCA
RCL,FANG,NVR,AAL
MHK,CNC,TSLA,OXY
SMCI,KMX,KKR,AXP
LEN,SLB,MHK,CVX
AXP,KEY,RF,FITB
SPG,UAL,ACGL,IVZ
ALGN,VRSN,BBWI,MOH
SPG,EXPE,CNP,MGM
APA,HAL,ELV,EOG
RCL,CCL,FCX,DVA
TPR,SJM,IRM,UPS
ALB,SPG,TRGP,EXPE
GPN,FICO,WYNN,MGM
ED,CI,EG,AMAT
MTCH,UAL,MPC,AMZN
WMB,UHS,SWK,HCA
UHS,OKE,RCL,BBWI
HAL,UHS,INTC,NVDA
MPC,LUV,CCI,MO
DFS,DRI,OKE,OXY
FIS,DLR,EOG,MRO
BLDR,FANG,OKE,AAL
CTRA,EMN,IQV,LLY
SPG,CI,AXP,HAL
AAL,MHK,URI,AIG
A,VLO,INTC,EOG
HAL,SPG,AMP,CNP
NCLH,C,SYK,HBAN
PARA,MHK,NCLH,TFX
DRI,AXP,FI,V
MPWR,SWK,DFS,ON
FCX,RTX,CE,IVZ
AAL,CCL,EXPE,SYY
CMG,ALB,BX,AVY
HCA,SPG,WBD,DVA
HBAN,ACGL,DFS,EXR
VRSN,OKE,ALGN,ORLY
HES,WMB,ULTA,TRGP
MGM,SWK,MHK,ON
CPAY,UDR,BBY,EQR
TRGP,RCL,TRMB,CCL
WBD,FCX,PSX,BX
LKQ,PHM,SPG,PNR
ALGN,NVR,FCX,SWK
EFX,CVX,SWK,COP
HAL,UAL,CCL,WYNN
SPG,NCLH,BX,FCX
SYY,TSLA,OXY,MKC
TRMB,EOG,OMC,C
FCX,OKE,WBD,ALB
INTC,ENPH,NXPI,STT
TYL,RL,CRL,BKR
FCX,TRGP,APTV,AJG
UHS,ENPH,HCA,WMT
MAA,EQT,UDR,TRGP
FANG,SWKS,MCHP,MPWR
TPR,ALB,ULTA,DOC
AAL,SMCI,HBAN,URI
CCL,ULTA,FE,MU
SWK,DD,MGM,DOC
C,PCG,MHK,LEN
TPR,SPG,LYB,PAYX
LEN,BX,NEM,MAS
CCL,WYNN,NCLH,BBWI
DECK,KEY,REGN,MCHP
REGN,NVDA,HAL,TPR
OKE,VTR,SPG,RCL
AXP,KKR,BLDR,KMX
TRMB,MHK,ZBH,TRGP
DRI,HCA,AXP,FANG
NCLH,HAL,DXCM,DFS
DRI,LEN,HAS,APTV
VRTX,EG,CSCO,DG
AOS,AMZN,TRGP,GILD
MHK,ALGN,CCL,EXPE
EXPE,PH,TPR,DOV
HAL,NCLH,APA,AMP
TRGP,NCLH,ALGN,ALB
CVX,DGX,MHK,FITB
AAL,EQT,FCX,UAL
VTR,WBD,TRGP,SLB
RMD,UHS,HII,ECL
ADI,EXPE,FFIV,LKQ
INTC,EPAM,ALB,CVS
C,AAL,TRGP,MRO
BBWI,F,MRO,EQT
AAL,DVA,ALB,CVS
AZO,SWK,KMX,FFIV
AAL,IQV,RTX,YUM
MHK,EQT,ULTA,SWK
SYK,DLR,HUM,BBY
EQT,UDR,OXY,MO
SWK,APTV,RMD,MHK
EOG,ULTA,MGM,HAL
APA,WY,TRGP,TFC
ZBH,BBWI,MHK,ALB
TRGP,DUK,MGM,CNP
MHK,BX,C,WDC
OKE,AXP,RCL,PARA
WBD,URI,TRGP,OKE
SPG,DXCM,AMP,AVB
SPG,AVB,CNP,APTV
SWKS,AMP,AMAT,BLDR
DOC,BX,TRGP,PHM
DFS,DXCM,APA,YUM
TPR,GPN,CCL,TSLA
AAL,ZBH,BBWI,OXY
TRMB,MO,DFS,F
AAL,DFS,KEY,HAL
WYNN,MGM,ALGN,LVS
MKTX,ALGN,KKR,WYNN
QCOM,AMAT,MKC,ENPH
