NVDA,KLAC,PTC,MPWR
ALGN,NCLH,BBWI,WBD
CF,LYB,ENPH,TFC
VTR,PARA,RCL,ENPH
FICO,SYY,KMX,MHK
SPG,PCG,LYV,DRI
TPR,SWK,LVS,MHK
AKAM,BBY,VLO,DLR
MKTX,INTC,NXPI,UHS
BAX,DLR,BBY,PTC
APTV,PNR,LKQ,ALLE
VTR,NVR,AVY,PARA
NCLH,TPR,TDG,SWK
TRGP,CBRE,FANG,VTR
TRMB,PWR,WYNN,PCG
AVB,APTV,KMX,NXPI
TRGP,MTCH,MA,EQT
MRO,TRGP,WBA,MLM
EQT,PCG,CAH,GPC
TRGP,EOG,COF,EMN
O,BIIB,BBWI,ROST
HOLX,AAL,ALGN,WBD
WYNN,BA,DAL,GE
ALGN,ODFL,SWK,RL
RF,WELL,FITB,KEY
TDY,HUBB,AXP,BEN
EMN,LYV,OKE,LYB
CCL,ALGN,HES,AAL
TER,BALL,F,RCL
BX,NCLH,BBWI,BLDR
DUK,MGM,VTR,INTU
PARA,VTR,CCL,AAL
NCLH,DAL,RL,UAL
BBWI,ALB,EQT,TXT
SPG,KMX,ROST,AIG
MTB,SPG,ROST,GILD
TPR,SYY,NCLH,RCL
SYY,COP,FANG,MGM
ENPH,TRGP,WMB,AIG
AMZN,TSLA,CNP,EXC
TRGP,WY,MGM,CF
BBY,HOLX,PHM,RL
TRGP,NCLH,HCA,UAL
TRGP,UHS,AAL,APTV
NCLH,TMO,RL,CPAY
AAL,DD,BBY,ED
GM,STLD,EOG,KKR
VTR,EW,BBWI,ODFL
CRL,TSLA,WY,FICO
HBAN,CCL,IPG,USB
BWA,DFS,TRGP,C
PCG,COF,HII,SWK
EQT,BBWI,KMX,EOG
CMG,DFS,TRGP,EXPE
OKE,RCL,NCLH,CCL
APA,NCLH,BA,OKE
AAL,EMN,PARA,SRE
EFX,BALL,SMCI,TJX
AMAT,SWKS,ON,MU
BX,KKR,GNRC,BLDR
LYB,LEN,MET,BA
V,PARA,AVY,FE
BBWI,VTR,AVY,KLAC
BBWI,GEN,NKE,NCLH
PARA,RCL,NCLH,UAL
WYNN,RCL,TSLA,TRMB
NCLH,HCA,FANG,STLD
DFS,NCLH,CNP,COF
NCLH,AXON,MRO,HBAN
APTV,ON,MOS,DRI
TFC,DAL,CCL,APA
CSX,TPR,NSC,BXP
LEN,LUV,IPG,AVB
CNC,KKR,GNRC,NKE
ADBE,AXP,ELV,SMCI
ON,MCHP,AMP,TYL
KEY,DFS,FITB,CCL
TPR,UAL,DFS,MGM
SWK,ALGN,BBWI,NVR
NVR,KIM,F,UHS
WY,OXY,VTR,RF
RCL,CCL,AXON,ZBRA
WMT,OMC,TRGP,SJM
MGM,PARA,VTR,ALB
MGM,WYNN,VTR,GPN
WYNN,HAL,WBD,ALGN
STT,ENPH,PODD,BEN
VTR,VTRS,MOS,OKE
AMZN,FANG,SLB,OKE
MCHP,MPWR,NOC,INTC
BAX,TTWO,AAL,WMT
UHS,SLB,SMCI,BBWI
FITB,C,RF,TFC
WBD,FANG,SPG,MHK
DFS,COF,LYB,GPN
COF,REG,WDC,CCL
NCLH,ROST,O,URI
EQT,QCOM,HAL,AEP
PARA,HAL,META,CE
OMC,MS,UAL,TFC
ALGN,NCLH,TPR,AAL
DAL,FI,KMX,WYNN
ON,BA,O,INTC
CCL,NCLH,WMT,IPG
UAL,NCLH,CCL,RCL
TRGP,EXPE,CMG,BX
HLT,TRGP,WBD,WYNN
UAL,IVZ,RF,PARA
ALGN,FICO,ENPH,IVZ
MHK,STT,OKE,PRU
ENPH,MOS,DTE,FCX
HBAN,PRU,WFC,COF
CMG,BBWI,BEN,OMC
NCLH,MKTX,WBD,PHM
NCLH,MGM,SWK,UHS
LEN,ALGN,PHM,TRGP
SWK,CVX,SLB,DXCM
CCL,KIM,HAL,MPC
AAL,BX,DAL,WYNN
AMP,MKC,MTCH,STT
RCL,EOG,WYNN,OMC
WBD,HCA,PARA,BX
MKTX,PCG,TRV,HAL
BBWI,LYV,AKAM,CLX
APTV,TRGP,FCX,LKQ
ENPH,MCHP,CSX,AMT
EQT,TRMB,KKR,AMT
META,COP,ON,TDG
HES,IP,KR,WMT
ENPH,KKR,AAL,NCLH
EPAM,BAX,META,GPN
MAS,MCHP,DD,UAL
MHK,EPAM,ROST,COP
GLW,PTC,MTCH,EW
PHM,KKR,ULTA,ZBH
WYNN,BBWI,CCL,ALGN
BA,HCA,REGN,PODD
PCG,TTWO,PTC,TSLA
BX,KMI,VTR,SYY
SYY,LKQ,ADBE,AXP
TRGP,URI,EQT,TRMB
DRI,GM,CBRE,UHS
NCLH,C,SPG,RVTY
LEN,DRI,PANW,COF
RJF,BIO,PCG,VRTX
GILD,AMZN,NCLH,KLAC
ALGN,MHK,BAX,BBWI
FITB,REG,WY,TFC
AMP,HAL,NCLH,COF
ISRG,BX,TRGP,NCLH
VTRS,DGX,USB,FITB
WY,CRL,EQT,LYB
WBD,RCL,NCLH,DAL
HII,ECL,SMCI,PODD
FFIV,EXPE,SPG,HUM
EPAM,BX,PHM,INTC
OMC,CF,ENPH,DIS
TPR,F,BBWI,NCLH
EVRG,TRGP,COF,FITB
EXPE,PHM,PODD,BKR
RCL,NCLH,SWK,MGM
BBWI,PARA,ENPH,SPG
AEP,ZBH,CBRE,DLR
PRU,BBWI,TSLA,FCX
FCX,BIIB,ENPH,NXPI
WFC,CCL,META,RCL
ALGN,TRGP,NCLH,ENPH
ZBH,AIG,IPG,ALB
APTV,O,AXON,ON
KKR,BX,MHK,SLB
FI,WBD,PARA,EQT
COP,PCG,TRGP,WBD
PCG,CPAY,NCLH,DXCM
AVB,O,MTCH,DOC
MHK,AMP,NCLH,TPR
PARA,SCHW,TRGP,DVA
HAL,DXCM,MHK,GPN
BA,MA,TDG,CCL
TRMB,EMN,AXON,EXPE
PRU,FICO,USB,KMX
ALGN,COP,KEY,DVN
NCLH,EQT,ENPH,AAL
WYNN,ALGN,AAL,GM
QCOM,MKC,AMAT,PSX
IPG,TRGP,GE,BAC
APTV,AAL,RCL,BA
RCL,PARA,NCLH,WDC
AAL,NCLH,DAL,WYNN
ON,EQT,AAL,MS
UAL,AAL,CCL,DAL
RL,AVB,TYL,ENPH
SYY,ENPH,MGM,ALGN
MHK,NKE,SWK,DRI
WYNN,BIIB,PARA,OXY
FI,CINF,HOLX,STZ
WYNN,CCL,SPG,BKNG
PCG,VTR,RCL,MTCH
CCL,TRV,URI,HBAN
IPG,SYY,SLB,DAL
MRO,MGM,DIS,VTR
CRL,IQV,KIM,UAL
TRGP,NCLH,CCL,AFL
HLT,PCG,RF,TRV
WYNN,BKR,AMZN,ENPH
EPAM,NCLH,BA,RCL
EXPE,BBWI,LYV,TRGP
CMI,WBD,SPG,JCI
STT,MGM,TRGP,CCL
WMB,GNRC,MGM,BLDR
BA,PARA,DAL,MTCH
RCL,NCLH,VTRS,AAL
PCG,BWA,RL,TSN
CF,ENPH,WYNN,KIM
NCLH,DHR,TPR,HOLX
VTR,PAYX,REG,WY
MKC,BIIB,VTR,INTU
ALGN,LYV,SPG,TSLA
KEY,CCL,WYNN,BKNG
DECK,TTWO,NXPI,TSLA
LYV,BBWI,DRI,EA
PARA,CPAY,IVZ,BKR
DLR,ALGN,TSLA,CPAY
ENPH,ALGN,BXP,CPAY
VTR,SPG,OKE,MOH
MCHP,NVDA,NXPI,VTR
MCHP,SYY,AES,SWKS
CBRE,BXP,SYK,TPR
PCG,AAL,PARA,BA
CCL,DECK,SWKS,KEY
VTR,PARA,NCLH,AMP
BKNG,WYNN,MOH,PNW
FCX,TSLA,LEN,PEG
HES,ENPH,COP,FANG
DFS,NCLH,VTR,AAL
IVZ,EVRG,QCOM,INTC
CMG,PCG,TTWO,META
URI,FCX,PNR,F
GE,CCL,C,FANG
AAL,ENPH,RCL,FCX
PARA,ALGN,WBD,KEY
MKTX,SYK,PHM,CRL
NCLH,AFL,DFS,AAL
VTR,VMC,UAL,RCL
MKTX,HPQ,PHM,NKE
VTR,ENPH,MHK,BBY
IFF,ALGN,NCLH,PWR
KDP,MGM,FI,LVS
BA,MOS,EMN,FICO
WYNN,EQT,LEN,TPR
EOG,HES,RCL,MOS
NCLH,APA,FANG,BBWI
EQT,ED,CBOE,DXCM
UHS,GEN,TRGP,INTC
EMR,ZBRA,NXPI,TTWO
GM,AEE,AAL,MMM
