DFS,SWK,BBWI,NCLH
EG,ENPH,TFC,BSX
APA,RCL,TRGP,VTR
MHK,SPG,BLDR,BXP
PCG,OKE,VTR,DVN
SWKS,BLDR,PM,VLO
KMX,TSLA,TRGP,EBAY
AIG,TJX,DFS,UHS
HST,HLT,COF,CAG
LKQ,HST,LH,WFC
VTR,PARA,REG,DOC
LYV,MHK,RCL,EXPE
CBRE,RCL,FANG,APA
PCG,ENPH,TRMB,F
AVB,APTV,EPAM,NCLH
APA,CVX,EQT,EL
MRO,TRGP,LRCX,JBHT
CCL,TRGP,NCLH,EXPE
COP,APA,CTRA,TRGP
APTV,ROST,SPG,VMC
AAL,HOLX,WBD,UAL
DAL,IFF,PARA,VTR
WBD,HOLX,GNRC,BDX
APA,FANG,RF,OXY
WMB,PFG,MTCH,REG
HST,UHS,WELL,MU
CCL,WELL,AMP,REG
CRL,KMX,SPG,MHK
HES,OXY,CCL,ALGN
TSLA,DOC,ETR,AIG
PCG,TRGP,STT,SCHW
DAL,LEN,BLDR,CBRE
MTCH,EQT,AXON,JBL
HSIC,AIG,WMB,TRGP
APA,HST,EQR,MTB
NCLH,ENPH,CMG,CPAY
WAB,MRO,HST,OXY
TRGP,URI,SRE,HAL
AVB,FE,TSLA,DVN
AMP,BBWI,BEN,MGM
MHK,BBWI,BLDR,HOLX
UHS,RCL,VTR,TRGP
TRGP,MTCH,APTV,WELL
NCLH,TMO,BBWI,MTCH
BBY,DD,NCLH,CCL
STLD,GM,HES,CMG
EW,URI,BBWI,VTR
APA,CRL,CBRE,MGM
TRV,USB,IPG,LVS
CF,TRGP,QCOM,HAL
BAX,APA,HII,D
TPR,EQT,FDX,TRGP
OXY,TRGP,EXPE,SYY
RCL,CCL,UAL,EQT
APA,BALL,PCG,VLO
WEC,EQT,SO,HII
AXON,TSCO,FICO,MKTX
AXON,MPC,AMAT,CMCSA
BX,GNRC,BLDR,HPQ
BIIB,POOL,DHI,PHM
DHI,MGM,PARA,MPC
VTR,KLAC,BBWI,UHS
SWKS,NCLH,NKE,SCHW
RCL,NCLH,CCL,AAL
TSLA,WYNN,ENPH,TRMB
DXCM,DE,TFC,SBUX
HAL,NCLH,CTRA,APA
CCL,MRO,USB,HBAN
MOS,CBRE,AXON,MGM
ENPH,SMCI,LKQ,PAYX
SWKS,SWK,UNP,ANSS
APA,UAL,BBWI,LEN
BLDR,NCLH,MHK,WELL
PCG,LRCX,TEL,SMCI
