MMM, MMM, BWA, ITW, F, NWSA
PSA, EXR, PSA, O, MAA, KO
ELV, CNC, ELV, UNH, CI, VZ
SWKS, SWKS, TXN, INTC, EBAY, AAPL
CRM, CRM, RF, XEL, FIS, NOW
EXPE, MGM, CCL, EXPE, LYV, BX
CSCO, CSCO, IBM, GOOG, WMT, PM
EXR, EXR, MAA, ARE, BX, XEL
NEM, NEM, XEL, LNT, EXC, CSX
ANSS, ROL, CNP, KEY, TXN, ANSS
PG, PG, CL, CHD, PEP, KMB
GIS, GIS, CPB, K, MDLZ, SJM
YUM, YUM, SBUX, MCD, GOOGL, GOOG
FANG, DVN, SLB, FANG, PRU, BAC
CMCSA, CMCSA, T, IPG, NWS, CHTR
VRSK, VRSK, RF, HBAN, CMG, AES
EXPD, EXPD, F, CHRW, CPRT, NWS
D, D, ED, DUK, DTE, CMS
CRL, IQV, BAC, CRL, LNT, DXCM
EMN, EMN, LYB, HBAN, BWA, PPG
CMS, CMS, LNT, ED, AEP, DTE
UDR, UDR, CPT, DOC, BXP, ARE
TMO, PLD, PFE, WELL, MRK, BXP
UNP, NSC, UNP, KEY, WFC, ITW
CCI, CCI, SBAC, CMS, SO, IPG
AXON, CPRT, NI, AXON, DUK, MGM
HUM, KIM, KEY, XEL, PFE, ABBV
ROST, TJX, ROST, CSCO, TPR, CPRT
T, T, VZ, USB, EXC, WEC
NXPI, MCHP, ON, NXPI, TXN, WEC
AFL, AFL, MET, ACGL, PRU, CSX
EXC, EXC, AEP, SO, DUK, DTE
ABT, ABT, BAX, REG, PLD, MRK
ODFL, ODFL, JBHT, IP, WRB, LKQ
GWW, FAST, AME, GWW, NI, CMCSA
KMB, KMB, CHD, CLX, HSY, AEP
ACN, NWSA, NWS, HBAN, KDP, ACN
WAT, A, WAT, KEY, HSIC, CPRT
AMT, CCI, AMT, UDR, SBAC, AEE
RSG, WM, RSG, WMT, UDR, KEY
NKE, NKE, TPR, SBUX, AEP, CPRT
AMD, AES, GOOGL, AMD, GOOG, XEL
MSI, CPRT, RF, MSI, AFL, TFC
MGM, MGM, HST, LVS, F, NWS
LKQ, F, LKQ, RF, HBAN, NWSA
NVDA, NVDA, AVGO, APH, CPRT, BAC
KR, KR, HBAN, TGT, XEL, CMS
MSCI, NDAQ, KEY, PCAR, KIM, CPRT
V, MA, V, BAC, WRB, EXC
ALL, ALL, PGR, HIG, KEY, CBRE
HES, HES, DVN, EOG, CVX, OKE
HSIC, HSIC, BEN, WBA, PFE, CBRE
SCHW, KEY, HBAN, SCHW, IVZ, BAC
CLX, CHD, CLX, MKC, PEP, USB
MCD, MCD, KO, PEP, O, DTE
AWK, CMS, AWK, ES, WEC, HBAN
NDSN, NDSN, AME, IEX, BAC, ARE
AVB, UDR, AVB, CPT, ESS, BXP
BKNG, NWS, NWSA, EXPE, MAR, CNP
LUV, LUV, DAL, AAL, T, AEP
F, F, BWA, RF, KEY, BX
AME, AME, PCAR, AFL, AOS, PPL
CMG, CMG, APH, NVDA, RF, KEY
FDS, FDS, NDAQ, CSX, LNT, AES
ADBE, CSCO, KIM, AEP, NWSA, AFL
GLW, GLW, TXN, WMT, AMCR, PHM
ULTA, AMCR, BBWI, REG, NWSA, ULTA
SBUX, SBUX, NWSA, KIM, AMCR, EXC
RCL, CCL, NCLH, RCL, PPL, MAR
KIM, KIM, REG, BXP, USB, RF
JNJ, LNT, JNJ, CME, WEC, AEE
HUBB, RF, AME, KEY, HUBB, AES
HAL, HAL, SLB, BKR, DVN, FANG
DG, WMT, DG, KR, DLTR, XEL
TRMB, TRMB, CPRT, KEY, NWS, RVTY
AMZN, AMZN, GOOGL, USB, GOOG, EXC
CPAY, FI, BEN, CPAY, GPN, LYB
NUE, STLD, NUE, F, KEY, GEN
CCL, CCL, AAL, LVS, BAC, CNP
TRGP, MRO, OKE, TRGP, WMB, KMI
STLD, STLD, HBAN, MOS, NWS, RF
SNPS, CPRT, KEY, AVGO, SNPS, MCHP
UPS, F, UPS, CHRW, HBAN, PCAR
VRSN, VRSN, FI, CVX, GIS, CL
AIZ, AIZ, PRU, EXC, NWS, MAS
JPM, BAC, JPM, C, HBAN, KEY
WAB, WAB, RF, NI, KEY, AME
A, HBAN, A, TECH, SO, RVTY
WDC, STX, WDC, INTC, KEY, NWSA
LEN, PHM, DHI, LEN, USB, ADM
MHK, FITB, MHK, PPG, KIM, IVZ
TRV, TRV, RF, HST, PGR, ACGL
CTAS, CPRT, APH, DTE, RF, AES
TXT, TXT, CSX, NWSA, KEY, CHD
CSGP, CSGP, ROL, HBAN, AMCR, IPG
STE, AMCR, STE, BAX, COO, EW
PGR, ACGL, PGR, F, HST, IPG
CME, CME, EQT, LYV, TSN, DOC
RMD, F, HBAN, RMD, FTNT, BAC
BDX, BDX, COO, JNJ, CMS, PFE
CHD, CHD, MKC, FITB, PEP, RF
DD, DD, EMN, LYB, PPG, AES
GNRC, FCX, GOOG, GOOGL, CMS, CMG
WYNN, LVS, WYNN, GOOG, None, None
TYL, DOC, DTE, AMCR, COO, F
STT, BK, KEY, STT, BEN, BAC
TSN, TSN, MDLZ, RF, SYY, KIM
C, C, USB, IVZ, AAL, PNC
CVS, CVS, WBA, WMT, KEY, COR
NTAP, NTAP, STX, NVDA, IPG, HPQ
JBHT, RF, JBHT, EXPD, CHRW, HST
LNT, AEP, LNT, CME, ED, KEY
ON, ON, TXN, PFG, F, RF
EL, AMCR, RF, SBUX, EL, FITB
IRM, IRM, KIM, XEL, AEE, F
BRK-B, BRK-B, CSX, BK, KO, JPM
DE, RF, F, HBAN, CHD, AMCR
TFC, TFC, FITB, USB, RF, BAC
BAX, BAX, CMS, BDX, KDP, KMI
FSLR, NWS, CMG, FSLR, NEE, ENPH
AMP, PFG, MET, SCHW, FITB, AMP
CMI, PCAR, CMI, PEG, CAT, HBAN
CINF, CINF, KEY, HBAN, CMS, ACGL
GOOG, GOOG, CPRT, IPG, RF, CMCSA
FFIV, CSCO, FFIV, KEY, WEC, FITB
PFG, PFG, HBAN, IVZ, BEN, FITB
ABBV, PFE, ABBV, JNJ, GILD, FITB
TT, JCI, GLW, KEY, TT, XEL
SPGI, SPGI, APH, MAS, ICE, FITB
ICE, ICE, CME, CBOE, NWS, CMS
PHM, PHM, PFE, HBAN, DAL, CMCSA
DTE, LNT, DUK, DTE, PNW, UDR
FTNT, FTNT, HST, RF, CPRT, IPG
HAS, HAS, IVZ, F, OMC, LVS
AXP, KEY, T, AXP, FITB, NWSA
EA, EA, TTWO, EBAY, PEG, CPT
PWR, AES, PWR, F, NWS, ETN
PLD, PLD, IRM, ARE, CPT, EXR
TTWO, TTWO, AMCR, HBAN, NWSA, T
ESS, UDR, ESS, CPT, BXP, ED
PM, T, KO, PM, JNJ, PPL
OMC, OMC, USB, BWA, BXP, KO
PCG, PPL, PCG, ED, AEP, MCD
MKTX, XEL, CME, MKTX, BRO, LNT
PAYX, PAYX, ADP, CSX, L, HON
SBAC, SO, XEL, SBAC, BX, JNJ
ZBH, ZBH, F, COO, BAX, PFG
DOC, DOC, USB, PNW, DTE, CCI
STX, STX, HBAN, CSCO, NWS, NWSA
CHRW, CHRW, IVZ, F, BWA, RTX
IBM, IBM, T, KO, RJF, MO
O, DOC, O, REG, UDR, DTE
SMCI, XEL, CMS, CNP, ROL, KIM
L, L, HIG, HBAN, ACGL, MET
FITB, FITB, BAC, USB, PNC, IPG
MRK, MRK, PFE, VZ, JNJ, ROL
PFE, PFE, JNJ, VZ, DUK, CPT
NWSA, NWSA, NWS, IVZ, OMC, BEN
IFF, IFF, BEN, AMCR, PPG, PCAR
AMAT, AMAT, F, LRCX, KLAC, HBAN
AIG, AIG, MET, PFG, ACGL, TRV
VMC, VMC, MLM, RF, CVX, BBWI
REGN, GILD, INCY, MRK, ABBV, CL
PSX, PSX, VLO, MPC, KIM, RF
UNH, BAC, KIM, XEL, HUM, PFE
MLM, KEY, MAS, MLM, AME, PFE
IVZ, IVZ, BWA, IPG, AAL, PNC
