MMM, ITW, HON, JNJ, WM, AVB
PSA, PLD, DLR, None, None, None
ELV, UNH, CNC, AJG, HLT, IQV
SWKS, AAPL, AVGO, ADI, NXPI, MCHP
CRM, NOW, MSFT, TYL, V, META
EXPE, HLT, CCL, FI, MGM, MAR
CSCO, JNPR, JNJ, PAYX, CL, CDW
EXR, PSA, PLD, DLR, HSIC, CHD
NEM, PLD, EOG, None, None, None
ANSS, SNPS, INTU, ADSK, TROW, PTC
PG, CL, PEP, CLX, JNJ, XEL
GIS, SJM, PEP, KMB, WM, TSN
YUM, MCD, SBUX, HLT, DGX, DPZ
FANG, COP, SLB, OXY, MRO, REG
CMCSA, VZ, PEP, D, OMC, CHRW
VRSK, MMC, RSG, PEP, SPGI, ECL
EXPD, ODFL, JBHT, ITW, TROW, IEX
D, DUK, ED, ES, DTE, SO
CRL, IQV, LH, ED, RVTY, ARE
EMN, CE, LYB, DD, LIN, IP
CMS, WEC, LNT, AEP, DTE, AWK
UDR, CPT, AVB, ESS, UDR, REG
TMO, RVTY, ABT, WAT, MRK, SPG
UNP, NSC, ODFL, EMR, CVX, RSG
CCI, DLR, PLD, AWK, MCO, O
AXON, TYL, LNT, PTC, BRO, BLK
HUM, UNH, ELV, CNC, CI, BRO
ROST, TJX, DG, BEN, CSCO, MAR
T, VZ, CMCSA, SO, L, USB
NXPI, ADI, TXN, TER, TEL, MPWR
AFL, PRU, HON, BRK-B, MET, ETN
EXC, PEG, ETR, SO, LNT, AEP
ABT, JNJ, MRK, PLD, MCO, MSFT
ODFL, ITW, DUK, PLD, O, EXC
GWW, FAST, AME, PH, HIG, IBM
KMB, PG, CLX, CL, CHD, CMS
ACN, MSFT, ADP, ECL, FDS, MMC
WAT, RVTY, IQV, HSIC, ABT, JNJ
AMT, CCI, SBAC, NEE, HLT, DLR
RSG, WM, PEP, CME, BRK-B, MAA
NKE, SBUX, LULU, DECK, AEP, TPR
AMD, NVDA, MPWR, MU, RJF, GOOGL
MSI, WM, APH, LHX, L, SNPS
MGM, MAR, O, GOOG, ES, RF
LKQ, GPC, PPL, TXN, CMS, DLR
