CRWD,NVDA,AVGO,TSLA,PANW,MSFT,AMZN,AB,AAPL,GOOGL,V,DIS
94,4.38625,29.955999,16.150667,75.926666,140.350006,94.926498,29.9,52.195,61.400002,181.529999,144.929993
89.07,4.218,28.999001,16.107332,75.513336,136.270004,93.338997,30.17,53.259998,60.91,178,143.009995
91.529999,4.123,28.534,15.59,75.129997,138.059998,92.765999,29.41,52.107498,60.589001,179.169998,141.850006
88.010002,4.02975,27.853001,15.622667,73.853333,136.899994,91.162003,28.719999,51.005001,59.816002,177.419998,141.710007
85.480003,3.76975,26.766001,15.221333,71.510002,132.210007,88.2565,27.030001,48.334999,57.737499,168.860001,138.300003
85.239998,3.80875,26.643999,15.383333,71.370003,134.690002,89.391502,28.15,49.25,58.554001,172.479996,141.869995
84.220001,3.84725,27.004999,15.561333,70.660004,135.279999,89.669998,28,49.759998,58.795502,175.320007,134.860001
91.650002,3.9565,27.098,15.886667,71.683334,138.889999,91.644501,28.01,50.857498,60.309502,179.899994,137.889999
94.900002,3.8545,27.573,15.667333,71.730003,137.710007,90.378998,27.73,50.247501,59.445,179.050003,138.520004
93.010002,3.78625,27.563999,15.267333,72.099998,135.789993,89.246002,26.969999,50.119999,58.724998,176.339996,135.75
99.650002,3.90125,28.370001,15.666667,74.153336,138.600006,91.217003,27.43,52.2425,59.836498,178.610001,137.009995
94.019997,3.75175,27.156,14.641333,72.190002,133.979996,88.148003,26.51,50.6875,58.212502,173.509995,132.850006
93.660004,3.71925,26.864,14.376,71.536667,133.679993,88.806,26.379999,50.435001,58.466,176.270004,133.410004
96.050003,3.989,27.378,14.662667,66.423332,136.130005,89.628502,27.030001,51.625,58.960499,178.229996,135.199997
99.389999,4.2695,27.878,15.122,66.010002,138.410004,90.806,27.360001,52.587502,60.021999,179.740005,135.289993
99.160004,4.19675,28.037001,15.057333,66.559998,137.259995,90.069,27.5,52.59,59.176498,179.240005,135.130005
96.580002,4.28075,28.75,14.722,67.923332,138.789993,91.177002,28.02,53.16,59.578999,180.940002,135.759995
92.970001,4.287,28.761999,14.81,68.186668,137.779999,90.233002,28.450001,53.115002,59.576,180.089996,136.080002
88.43,4.061,27.212999,14.093333,67.190002,133.389999,87.481003,27.709999,50.66,57.679001,175.229996,131.669998
88.879997,4.13625,27.722,14.333333,67.883331,135.449997,88.443497,28.110001,51.622501,58.558998,177.589996,134.610001
84.080002,4.045,27.556999,14.272,67.360001,135.740005,88.091499,28.200001,51.040001,58.541,178.380005,134.490005
86.989998,4.0305,27.606001,14.372667,66.066666,135.559998,88.212502,28.379999,51.3825,58.6875,178.669998,136.550003
83.82,4.175,28.337,14.780667,66.716667,138.119995,89.32,28.59,52.252499,59.712002,181.169998,137.839996
81.279999,4.18775,28.264,15.040667,67.873337,137.860001,88.814499,28.280001,52.185001,59.526501,180.820007,137.259995
